/ext3/miniconda3/lib/python3.9/site-packages/torch/utils/data/dataloader.py:554: UserWarning: This DataLoader will create 6 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
Epoch 1, batch 111, loss=1.4494670629501343
Epoch 1, batch 112, loss=1.1343584060668945
Epoch 1, batch 113, loss=1.3859504461288452
Epoch 1, batch 114, loss=1.4262807369232178
Epoch 1, batch 115, loss=1.092582106590271
Epoch 1, batch 116, loss=1.2684223651885986
Epoch 1, batch 117, loss=1.3041424751281738
Epoch 1, batch 118, loss=1.512028455734253
Epoch 1, batch 119, loss=1.2365906238555908
Epoch 1, batch 120, loss=1.0516756772994995
Epoch 1, batch 121, loss=1.3120872974395752
Epoch 1, batch 122, loss=1.2697134017944336
Epoch 1, batch 123, loss=1.6758240461349487
Epoch 1, batch 124, loss=1.334702491760254
Epoch 1, batch 125, loss=1.48468017578125
Epoch 1, batch 126, loss=1.1469429731369019
Epoch 1, batch 127, loss=1.0101709365844727
Epoch 1, batch 128, loss=1.0849498510360718
Epoch 1, batch 129, loss=1.2488229274749756
Epoch 1, batch 130, loss=1.179497480392456
Epoch 1, batch 131, loss=0.9701999425888062
Epoch 1, batch 132, loss=0.9696287512779236
Epoch 1, batch 133, loss=1.2636210918426514
Epoch 1, batch 134, loss=1.256988525390625
Epoch 1, batch 135, loss=1.3038568496704102
Epoch 1, batch 136, loss=1.5227994918823242
Epoch 1, batch 137, loss=1.1714204549789429
Epoch 1, batch 138, loss=1.2032867670059204
Epoch 1, batch 139, loss=1.4433975219726562
Epoch 1, batch 140, loss=1.1559722423553467
Epoch 1, batch 141, loss=1.1335384845733643
Epoch 1, batch 142, loss=1.122567057609558
Epoch 1, batch 143, loss=1.3392289876937866
Epoch 1, batch 144, loss=1.6998008489608765
Epoch 1, batch 145, loss=1.3322792053222656
Epoch 1, batch 146, loss=1.310776710510254
Epoch 1, batch 147, loss=1.1780633926391602
Epoch 1, batch 148, loss=1.323491096496582
Epoch 1, batch 149, loss=0.9991056323051453
Epoch 1, batch 150, loss=1.4239261150360107
Epoch 1, batch 151, loss=1.93961501121521
Epoch 1, batch 152, loss=1.052474856376648
Epoch 1, batch 153, loss=1.327857494354248
Epoch 1, batch 154, loss=1.6329354047775269
Epoch 1, batch 155, loss=1.2525484561920166
Epoch 1, batch 156, loss=1.1653649806976318
Epoch 1, batch 157, loss=1.284087896347046
Epoch 1, batch 158, loss=1.5768646001815796
Epoch 1, batch 159, loss=1.4607124328613281
Epoch 1, batch 160, loss=1.2577706575393677
Epoch 1, batch 161, loss=1.211544394493103
Epoch 1, batch 162, loss=1.4542701244354248
Epoch 1, batch 163, loss=1.055039405822754
Epoch 1, batch 164, loss=1.327117919921875
Epoch 1, batch 165, loss=1.0574482679367065
Epoch 1, batch 166, loss=1.2368053197860718
Epoch 1, batch 167, loss=1.5483436584472656
Epoch 1, batch 168, loss=1.1543936729431152
Epoch 1, batch 169, loss=1.4572720527648926
Epoch 1, batch 170, loss=1.0470308065414429
Epoch 1, batch 171, loss=1.2700172662734985
Epoch 1, batch 172, loss=1.0927908420562744
Epoch 1, batch 173, loss=1.4699567556381226
Epoch 1, batch 174, loss=0.9738402366638184
Epoch 1, batch 175, loss=1.1432723999023438
Epoch 1, batch 176, loss=1.0473926067352295
Epoch 1, batch 177, loss=0.9653533697128296
Epoch 1, batch 178, loss=1.2444148063659668
Epoch 1, batch 179, loss=1.45526123046875
Epoch 1, batch 180, loss=1.4447438716888428
Epoch 1, batch 181, loss=1.2940139770507812
Epoch 1, batch 182, loss=1.1673966646194458
Epoch 1, batch 183, loss=1.1937190294265747
Epoch 1, batch 184, loss=1.4919896125793457
Epoch 1, batch 185, loss=1.1981768608093262
Epoch 1, batch 186, loss=1.3654754161834717
Epoch 1, batch 187, loss=1.3560459613800049
Epoch 1, batch 188, loss=1.339600920677185
Epoch 1, batch 189, loss=1.064720630645752
Epoch 1, batch 190, loss=1.1722145080566406
Epoch 1, batch 191, loss=1.124818205833435
Epoch 1, batch 192, loss=1.2196686267852783
Epoch 1, batch 193, loss=1.3730295896530151
Epoch 1, batch 194, loss=1.0337097644805908
Epoch 1, batch 195, loss=1.218849539756775
Epoch 1, batch 196, loss=1.3388952016830444
Epoch 1, batch 197, loss=1.3342409133911133
Epoch 1, batch 198, loss=0.9321431517601013
Epoch 1, batch 199, loss=1.4172842502593994
Epoch 1, batch 200, loss=0.8896085023880005
Epoch 1, batch 201, loss=1.1433496475219727
Epoch 1, batch 202, loss=1.161659598350525
Epoch 1, batch 203, loss=1.4121110439300537
Epoch 1, batch 204, loss=1.0144990682601929
Epoch 1, batch 205, loss=1.1674048900604248
Epoch 1, batch 206, loss=1.2090815305709839
Epoch 1, batch 207, loss=1.263749361038208
Epoch 1, batch 208, loss=1.3465607166290283
Epoch 1, batch 209, loss=1.3846147060394287
Epoch 1, batch 210, loss=1.2744719982147217
Epoch 1, batch 211, loss=1.078695297241211
Epoch 1, batch 212, loss=1.2414053678512573
Epoch 1, batch 213, loss=1.1795940399169922
Epoch 1, batch 214, loss=1.4762465953826904
Epoch 1, batch 215, loss=1.2812016010284424
Epoch 1, batch 216, loss=1.486971139907837
Epoch 1, batch 217, loss=1.14175283908844
Epoch 1, batch 218, loss=1.1664297580718994
Epoch 1, batch 219, loss=1.2817977666854858
Epoch 1, batch 220, loss=1.3060188293457031
Epoch 1, batch 221, loss=1.1493089199066162
Epoch 1, batch 222, loss=1.075172781944275
Epoch 1, batch 223, loss=1.208761215209961
Epoch 1, batch 224, loss=1.286245346069336
Epoch 1, batch 225, loss=1.5392358303070068
Epoch 1, batch 226, loss=1.186868667602539
Epoch 1, batch 227, loss=1.3278799057006836
Epoch 1, batch 228, loss=1.0893915891647339
Epoch 1, batch 229, loss=1.1838468313217163
Epoch 1, batch 230, loss=1.301237940788269
Epoch 1, batch 231, loss=1.2671436071395874
Epoch 1, batch 232, loss=1.303377389907837
Epoch 1, batch 233, loss=1.0386862754821777
Epoch 1, batch 234, loss=1.3590625524520874
Epoch 1, batch 235, loss=1.4600419998168945
Epoch 1, batch 236, loss=1.3952125310897827
Epoch 1, batch 237, loss=1.147780179977417
Epoch 1, batch 238, loss=1.1833171844482422
Epoch 1, batch 239, loss=1.4324326515197754
Epoch 1, batch 240, loss=1.382475733757019
Epoch 1, batch 241, loss=1.351431131362915
Epoch 1, batch 242, loss=1.2492927312850952
Epoch 1, batch 243, loss=1.239631175994873
Epoch 1, batch 244, loss=1.2710754871368408
Epoch 1, batch 245, loss=1.3411448001861572
Epoch 1, batch 246, loss=1.1959115266799927
Epoch 1, batch 247, loss=1.1966768503189087
Epoch 1, batch 248, loss=1.0986396074295044
Epoch 1, batch 249, loss=1.1505045890808105
Epoch 1, batch 250, loss=1.2031190395355225
Epoch 1, batch 251, loss=1.3288906812667847
Epoch 1, batch 252, loss=1.431949496269226
Epoch 1, batch 253, loss=1.1790411472320557
Epoch 1, batch 254, loss=1.191943883895874
Epoch 1, batch 255, loss=1.4588565826416016
Epoch 1, batch 256, loss=1.2575514316558838
Epoch 1, batch 257, loss=1.1338549852371216
Epoch 1, batch 258, loss=1.6104668378829956
Epoch 1, batch 259, loss=1.3124006986618042
Epoch 1, batch 260, loss=1.5732645988464355
Epoch 1, batch 261, loss=1.2092126607894897
Epoch 1, batch 262, loss=1.1676673889160156
Epoch 1, batch 263, loss=0.9599577784538269
Epoch 1, batch 264, loss=1.3701975345611572
Epoch 1, batch 265, loss=1.0227305889129639
Epoch 1, batch 266, loss=1.287083387374878
Epoch 1, batch 267, loss=1.1942946910858154
Epoch 1, batch 268, loss=1.1084474325180054
Epoch 1, batch 269, loss=1.4541685581207275
Epoch 1, batch 270, loss=1.2077791690826416
Epoch 1, batch 271, loss=1.0346770286560059
Epoch 1, batch 272, loss=1.308756709098816
Epoch 1, batch 273, loss=1.035279631614685
Epoch 1, batch 274, loss=1.210390567779541
Epoch 1, batch 275, loss=1.129845142364502
Epoch 1, batch 276, loss=0.9294565916061401
Epoch 1, batch 277, loss=1.3916475772857666
Epoch 1, batch 278, loss=1.2590975761413574
Epoch 1, batch 279, loss=1.3576979637145996
Epoch 1, batch 280, loss=1.0551825761795044
Epoch 1, batch 281, loss=1.062812328338623
Epoch 1, batch 282, loss=1.3330268859863281
Epoch 1, batch 283, loss=1.3226795196533203
Epoch 1, batch 284, loss=1.2937796115875244
Epoch 1, batch 285, loss=1.3403358459472656
Epoch 1, batch 286, loss=1.465696096420288
Epoch 1, batch 287, loss=1.336464762687683
Epoch 1, batch 288, loss=1.011925220489502
Epoch 1, batch 289, loss=1.1720433235168457
Epoch 1, batch 290, loss=1.480939269065857
Epoch 1, batch 291, loss=1.3629333972930908
Epoch 1, batch 292, loss=1.295052409172058
Epoch 1, batch 293, loss=1.5775442123413086
Epoch 1, batch 294, loss=1.62376868724823
Epoch 1, batch 295, loss=1.3415992259979248
Epoch 1, batch 296, loss=1.491020679473877
Epoch 1, batch 297, loss=1.32564377784729
Epoch 1, batch 298, loss=1.249834656715393
Epoch 1, batch 299, loss=1.036014437675476
Epoch 1, batch 300, loss=1.1328729391098022
Epoch 1, batch 301, loss=1.4398950338363647
Epoch 1, batch 302, loss=1.255904197692871
Epoch 1, batch 303, loss=1.3303698301315308
Epoch 1, batch 304, loss=1.2950375080108643
Epoch 1, batch 305, loss=1.037245273590088
Epoch 1, batch 306, loss=1.5587691068649292
Epoch 1, batch 307, loss=1.2706174850463867
Epoch 1, batch 308, loss=1.2923049926757812
Epoch 1, batch 309, loss=1.144248366355896
Epoch 1, batch 310, loss=1.094848394393921
Epoch 1, batch 311, loss=1.3395068645477295
Epoch 1, batch 312, loss=1.271278738975525
Epoch 1, batch 313, loss=1.2277532815933228
Epoch 1, batch 314, loss=1.3581352233886719
Epoch 1, batch 315, loss=1.494524359703064
Epoch 1, batch 316, loss=1.1427654027938843
Epoch 1, batch 317, loss=0.9904515147209167
Epoch 1, batch 318, loss=1.4948629140853882
Epoch 1, batch 319, loss=1.3331129550933838
Epoch 1, batch 320, loss=1.3830903768539429
Epoch 1, batch 321, loss=1.4253106117248535
Epoch 1, batch 322, loss=1.440435767173767
Epoch 1, batch 323, loss=1.1741410493850708
Epoch 1, batch 324, loss=1.4183614253997803
Epoch 1, batch 325, loss=0.8664933443069458
Epoch 1, batch 326, loss=1.2758760452270508
Epoch 1, batch 327, loss=1.250401496887207
Epoch 1, batch 328, loss=1.055009126663208
Epoch 1, batch 329, loss=1.2841476202011108
Epoch 1, batch 330, loss=1.5443886518478394
Epoch 1, batch 331, loss=1.2310904264450073
Epoch 1, batch 332, loss=1.2353533506393433
Epoch 1, batch 333, loss=1.6464471817016602
Epoch 1, batch 334, loss=0.9733008146286011
Epoch 1, batch 335, loss=1.3439366817474365
Epoch 1, batch 336, loss=1.099677562713623
Epoch 1, batch 337, loss=1.1392796039581299
Epoch 1, batch 338, loss=1.159766435623169
Epoch 1, batch 339, loss=1.478053092956543
Epoch 1, batch 340, loss=0.9689364433288574
Epoch 1, batch 341, loss=1.2700717449188232
Epoch 1, batch 342, loss=1.4598888158798218
Epoch 1, batch 343, loss=1.277106523513794
Epoch 1, batch 344, loss=1.2991483211517334
Epoch 1, batch 345, loss=1.280490756034851
Epoch 1, batch 346, loss=1.375303030014038
Epoch 1, batch 347, loss=1.1522986888885498
Epoch 1, batch 348, loss=1.1927176713943481
Epoch 1, batch 349, loss=1.364426612854004
Epoch 1, batch 350, loss=1.3067145347595215
Epoch 1, batch 351, loss=1.1014947891235352
Epoch 1, batch 352, loss=1.3292649984359741
Epoch 1, batch 353, loss=1.044644832611084
Epoch 1, batch 354, loss=1.340837001800537
Epoch 1, batch 355, loss=1.2795045375823975
Epoch 1, batch 356, loss=1.4223617315292358
Epoch 1, batch 357, loss=1.2052183151245117
Epoch 1, batch 358, loss=1.0410501956939697
Epoch 1, batch 359, loss=1.07416570186615
Epoch 1, batch 360, loss=1.0160775184631348
Epoch 1, batch 361, loss=1.0161519050598145
Epoch 1, batch 362, loss=1.437822699546814
Epoch 1, batch 363, loss=1.3576288223266602
Epoch 1, batch 364, loss=1.2442107200622559
Epoch 1, batch 365, loss=1.2499158382415771
Epoch 1, batch 366, loss=1.235490322113037
Epoch 1, batch 367, loss=1.6396944522857666
Epoch 1, batch 368, loss=1.0115878582000732
Epoch 1, batch 369, loss=1.0939569473266602
Epoch 1, batch 370, loss=1.1586434841156006
Epoch 1, batch 371, loss=1.187098741531372
Epoch 1, batch 372, loss=1.4081592559814453
Epoch 1, batch 373, loss=1.4240492582321167
Epoch 1, batch 374, loss=1.23003089427948
Epoch 1, batch 375, loss=1.467376947402954
Epoch 1, batch 376, loss=1.3903945684432983
Epoch 1, batch 377, loss=1.1472196578979492
Epoch 1, batch 378, loss=1.3379958868026733
Epoch 1, batch 379, loss=1.3856843709945679
Epoch 1, batch 380, loss=1.240796685218811
Epoch 1, batch 381, loss=1.2304706573486328
Epoch 1, batch 382, loss=1.2383286952972412
Epoch 1, batch 383, loss=0.9274231791496277
Epoch 1, batch 384, loss=1.2255637645721436
Epoch 1, batch 385, loss=1.0164499282836914
Epoch 1, batch 386, loss=1.228456735610962
Epoch 1, batch 387, loss=1.6320075988769531
Epoch 1, batch 388, loss=1.499222755432129
Epoch 1, batch 389, loss=1.233547329902649
Epoch 1, batch 390, loss=1.1311075687408447
Epoch 1, batch 391, loss=1.1808130741119385
Epoch 1, batch 392, loss=1.4035594463348389
Epoch 1, batch 393, loss=1.0134828090667725
Epoch 1, batch 394, loss=1.317076325416565
Epoch 1, batch 395, loss=1.1515703201293945
Epoch 1, batch 396, loss=1.409201979637146
Epoch 1, batch 397, loss=1.3384134769439697
Epoch 1, batch 398, loss=1.2472736835479736
Epoch 1, batch 399, loss=1.7413501739501953
Epoch 1, batch 400, loss=1.2314693927764893
Epoch 1, batch 401, loss=1.2240397930145264
Epoch 1, batch 402, loss=1.1425621509552002
Epoch 1, batch 403, loss=1.6094945669174194
Epoch 1, batch 404, loss=1.422803282737732
Epoch 1, batch 405, loss=1.3174136877059937
Epoch 1, batch 406, loss=1.4300260543823242
Epoch 1, batch 407, loss=1.2990975379943848
Epoch 1, batch 408, loss=1.3451042175292969
Epoch 1, batch 409, loss=1.1463571786880493
Epoch 1, batch 410, loss=1.0229305028915405
Epoch 1, batch 411, loss=1.6330021619796753
Epoch 1, batch 412, loss=0.988852858543396
Epoch 1, batch 413, loss=1.170751929283142
Epoch 1, batch 414, loss=1.1132256984710693
Epoch 1, batch 415, loss=1.2792636156082153
Epoch 1, batch 416, loss=1.1911429166793823
Epoch 1, batch 417, loss=1.6673095226287842
Epoch 1, batch 418, loss=1.0382411479949951
Epoch 1, batch 419, loss=1.4196808338165283
Epoch 1, batch 420, loss=1.2036614418029785
Epoch 1, batch 421, loss=0.8518319129943848
Epoch 1, batch 422, loss=1.2362511157989502
Epoch 1, batch 423, loss=1.1911441087722778
Epoch 1, batch 424, loss=1.2656317949295044
Epoch 1, batch 425, loss=1.3554465770721436
Epoch 1, batch 426, loss=1.1239943504333496
Epoch 1, batch 427, loss=1.0864055156707764
Epoch 1, batch 428, loss=1.1659338474273682
Epoch 1, batch 429, loss=1.14799165725708
Epoch 1, batch 430, loss=1.1143699884414673
Epoch 1, batch 431, loss=1.1060457229614258
Epoch 1, batch 432, loss=1.66623854637146
Epoch 1, batch 433, loss=1.4201607704162598
Epoch 1, batch 434, loss=1.2809027433395386
Epoch 1, batch 435, loss=1.258832573890686
Epoch 1, batch 436, loss=0.8460942506790161
Epoch 1, batch 437, loss=1.1710954904556274
Epoch 1, batch 438, loss=1.4276282787322998
Epoch 1, batch 439, loss=1.1240923404693604
Epoch 1, batch 440, loss=1.5405540466308594
Epoch 1, batch 441, loss=1.20284903049469
Epoch 1, batch 442, loss=1.4354079961776733
Epoch 1, batch 443, loss=1.4762834310531616
Epoch 1, batch 444, loss=1.246005892753601
Epoch 1, batch 445, loss=1.1152828931808472
Epoch 1, batch 446, loss=1.1903117895126343
Epoch 1, batch 447, loss=1.2375177145004272
Epoch 1, batch 448, loss=1.0938732624053955
Epoch 1, batch 449, loss=1.1721290349960327
Epoch 1, batch 450, loss=1.6048930883407593
Epoch 1, batch 451, loss=1.4010112285614014
Epoch 1, batch 452, loss=1.356605052947998
Epoch 1, batch 453, loss=1.5949373245239258
Epoch 1, batch 454, loss=1.2129287719726562
Epoch 1, batch 455, loss=1.3293980360031128
Epoch 1, batch 456, loss=1.2117633819580078
Epoch 1, batch 457, loss=1.362462043762207
Epoch 1, batch 458, loss=1.4146180152893066
Epoch 1, batch 459, loss=1.6396735906600952
Epoch 1, batch 460, loss=1.2542145252227783
Epoch 1, batch 461, loss=1.3709840774536133
Epoch 1, batch 462, loss=1.1985055208206177
Epoch 1, batch 463, loss=1.1857378482818604
Epoch 1, batch 464, loss=1.5922927856445312
Epoch 1, batch 465, loss=1.3489363193511963
Epoch 1, batch 466, loss=1.408104658126831
Epoch 1, batch 467, loss=1.3608856201171875
Epoch 1, batch 468, loss=1.4188894033432007
Epoch 1, batch 469, loss=1.078618049621582
Epoch 1, batch 470, loss=1.0908935070037842
Epoch 1, batch 471, loss=1.2305457592010498
Epoch 1, batch 472, loss=0.9702479243278503
Epoch 1, batch 473, loss=1.3863252401351929
Epoch 1, batch 474, loss=1.5249742269515991
Epoch 1, batch 475, loss=1.3762754201889038
Epoch 1, batch 476, loss=1.2070497274398804
Epoch 1, batch 477, loss=1.0970605611801147
Epoch 1, batch 478, loss=1.3094775676727295
Average epoch loss=0.42217305477194206
Epoch 2, batch 0, loss=1.2652418613433838
Epoch 2, batch 1, loss=1.0546894073486328
Epoch 2, batch 2, loss=1.3348339796066284
Epoch 2, batch 3, loss=1.5187747478485107
Epoch 2, batch 4, loss=1.3350032567977905
Epoch 2, batch 5, loss=1.3474377393722534
Epoch 2, batch 6, loss=1.1070142984390259
Epoch 2, batch 7, loss=1.276465654373169
Epoch 2, batch 8, loss=1.3029019832611084
Epoch 2, batch 9, loss=1.3892765045166016
Epoch 2, batch 10, loss=1.3114368915557861
Epoch 2, batch 11, loss=1.3257927894592285
Epoch 2, batch 12, loss=1.2075483798980713
Epoch 2, batch 13, loss=1.3513247966766357
Epoch 2, batch 14, loss=1.1108660697937012
Epoch 2, batch 15, loss=1.2568320035934448
Epoch 2, batch 16, loss=1.544937014579773
Epoch 2, batch 17, loss=1.1347558498382568
Epoch 2, batch 18, loss=1.2960481643676758
Epoch 2, batch 19, loss=1.4556068181991577
Epoch 2, batch 20, loss=1.3512866497039795
Epoch 2, batch 21, loss=1.238600730895996
Epoch 2, batch 22, loss=1.3002638816833496
Epoch 2, batch 23, loss=1.0344579219818115
Epoch 2, batch 24, loss=1.3870437145233154
Epoch 2, batch 25, loss=1.1445715427398682
Epoch 2, batch 26, loss=1.1315839290618896
Epoch 2, batch 27, loss=1.3647255897521973
Epoch 2, batch 28, loss=1.152509093284607
Epoch 2, batch 29, loss=1.258206844329834
Epoch 2, batch 30, loss=1.139319896697998
Epoch 2, batch 31, loss=1.149087905883789
Epoch 2, batch 32, loss=1.1938066482543945
Epoch 2, batch 33, loss=1.3115456104278564
Epoch 2, batch 34, loss=1.2425360679626465
Epoch 2, batch 35, loss=1.111035943031311
Epoch 2, batch 36, loss=1.2682316303253174
Epoch 2, batch 37, loss=1.8789777755737305
Epoch 2, batch 38, loss=0.9711048007011414
Epoch 2, batch 39, loss=1.4691004753112793
Epoch 2, batch 40, loss=1.0065386295318604
Epoch 2, batch 41, loss=1.1778357028961182
Epoch 2, batch 42, loss=1.4915388822555542
Epoch 2, batch 43, loss=1.3849239349365234
Epoch 2, batch 44, loss=1.1219227313995361
Epoch 2, batch 45, loss=0.8743863105773926
Epoch 2, batch 46, loss=1.1261847019195557
Epoch 2, batch 47, loss=1.2426694631576538
Epoch 2, batch 48, loss=1.7135040760040283
Epoch 2, batch 49, loss=1.3012654781341553
Epoch 2, batch 50, loss=1.1900957822799683
Epoch 2, batch 51, loss=1.0792665481567383
Epoch 2, batch 52, loss=1.2192418575286865
Epoch 2, batch 53, loss=1.3630030155181885
Epoch 2, batch 54, loss=1.439690351486206
Epoch 2, batch 55, loss=1.332138180732727
Epoch 2, batch 56, loss=1.3958582878112793
Epoch 2, batch 57, loss=1.2758524417877197
Epoch 2, batch 58, loss=1.4044641256332397
Epoch 2, batch 59, loss=1.3797119855880737
Epoch 2, batch 60, loss=1.2272210121154785
Epoch 2, batch 61, loss=1.1431430578231812
Epoch 2, batch 62, loss=1.4298770427703857
Epoch 2, batch 63, loss=1.551662802696228
Epoch 2, batch 64, loss=1.1865673065185547
Epoch 2, batch 65, loss=1.4362332820892334
Epoch 2, batch 66, loss=1.155435562133789
Epoch 2, batch 67, loss=1.3642114400863647
Epoch 2, batch 68, loss=1.4048351049423218
Epoch 2, batch 69, loss=1.1912691593170166
Epoch 2, batch 70, loss=1.0783581733703613
Epoch 2, batch 71, loss=1.3693498373031616
Epoch 2, batch 72, loss=1.3428082466125488
Epoch 2, batch 73, loss=1.0980335474014282
Epoch 2, batch 74, loss=1.2229154109954834
Epoch 2, batch 75, loss=1.2359063625335693
Epoch 2, batch 76, loss=1.6145433187484741
Epoch 2, batch 77, loss=1.1541484594345093
Epoch 2, batch 78, loss=1.2388834953308105
Epoch 2, batch 79, loss=1.5964393615722656
Epoch 2, batch 80, loss=1.2631865739822388
Epoch 2, batch 81, loss=1.3493422269821167
Epoch 2, batch 82, loss=1.4421577453613281
Epoch 2, batch 83, loss=1.4471349716186523
Epoch 2, batch 84, loss=1.3988409042358398
Epoch 2, batch 85, loss=1.161954641342163
Epoch 2, batch 86, loss=1.355168104171753
Epoch 2, batch 87, loss=1.1694139242172241
Epoch 2, batch 88, loss=1.1597206592559814
Epoch 2, batch 89, loss=1.0838942527770996
Epoch 2, batch 90, loss=1.381255030632019
Epoch 2, batch 91, loss=1.292154312133789
Epoch 2, batch 92, loss=1.1813900470733643
Epoch 2, batch 93, loss=0.9835677146911621
Epoch 2, batch 94, loss=1.2847316265106201
